File generated on 2016-09-21 09:00:32 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/903/large/FREC_Scab_3108_resized.JPG?1445259127,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/904/large/FREC_Scab_3109_resized.JPG?1445259128,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/905/large/FREC_Scab_3110_resized.JPG?1445259130,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/906/large/FREC_Scab_3111_resized.JPG?1445259131,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/907/large/FREC_Scab_3112_resized.JPG?1445259132,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/908/large/FREC_Scab_3113_resized.JPG?1445259134,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/909/large/FREC_Scab_3114_resized.JPG?1445259135,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/910/large/FREC_Scab_3115_resized.JPG?1445259136,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/911/large/FREC_Scab_3116_resized.JPG?1445259137,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/912/large/FREC_Scab_3117_resized.JPG?1445259139,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/913/large/FREC_Scab_3118_resized.JPG?1445259140,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/914/large/FREC_Scab_3119_resized.JPG?1445259142,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/915/large/FREC_Scab_3120_resized.JPG?1445259144,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/916/large/FREC_Scab_3121_resized.JPG?1445259146,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/917/large/FREC_Scab_3122_resized.JPG?1445259147,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/918/large/FREC_Scab_3123_resized.JPG?1445259148,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/919/large/FREC_Scab_3124_resized.JPG?1445259150,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/920/large/FREC_Scab_3125_resized.JPG?1445259151,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/921/large/FREC_Scab_3126_resized.JPG?1445259153,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/922/large/FREC_Scab_3127_resized.JPG?1445259154,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/923/large/FREC_Scab_3128_resized.JPG?1445259156,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/924/large/FREC_Scab_3129_resized.JPG?1445259157,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/925/large/FREC_Scab_3130_resized.JPG?1445259158,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/926/large/FREC_Scab_3131_resized.JPG?1445259159,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/927/large/FREC_Scab_3132_resized.JPG?1445259161,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/928/large/FREC_Scab_3133_resized.JPG?1445259164,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/929/large/FREC_Scab_3134_resized.JPG?1445259167,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/930/large/FREC_Scab_3135_resized.JPG?1445259168,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/931/large/FREC_Scab_3136_resized.JPG?1445259170,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/932/large/FREC_Scab_3137_resized.JPG?1445259171,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/933/large/FREC_Scab_3138_resized.JPG?1445259173,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/934/large/FREC_Scab_3139_resized.JPG?1445259175,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/935/large/FREC_Scab_3140_resized.JPG?1445259177,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/936/large/FREC_Scab_3141_resized.JPG?1445259179,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/937/large/FREC_Scab_3142_resized.JPG?1445259182,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/938/large/FREC_Scab_3143_resized.JPG?1445259184,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/939/large/FREC_Scab_3144_resized.JPG?1445259186,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/940/large/FREC_Scab_3145_resized.JPG?1445259188,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/941/large/FREC_Scab_3146_resized.JPG?1445259190,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/942/large/FREC_Scab_3147_resized.JPG?1445259191,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/943/large/FREC_Scab_3148_resized.JPG?1445259192,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/944/large/FREC_Scab_3149_resized.JPG?1445259193,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/945/large/FREC_Scab_3150_resized.JPG?1445259194,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/946/large/FREC_Scab_3151_resized.JPG?1445259196,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/947/large/FREC_Scab_3152_resized.JPG?1445259197,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/948/large/FREC_Scab_3153_resized.JPG?1445259198,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/949/large/FREC_Scab_3154_resized.JPG?1445259199,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/950/large/FREC_Scab_3155_resized.JPG?1445259201,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/951/large/FREC_Scab_3156_resized.JPG?1445259203,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/952/large/FREC_Scab_3157_resized.JPG?1445259206,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/953/large/FREC_Scab_3158_resized.JPG?1445259208,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/954/large/FREC_Scab_3159_resized.JPG?1445259210,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/955/large/FREC_Scab_3160_resized.JPG?1445259211,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/956/large/FREC_Scab_3161_resized.JPG?1445259212,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/957/large/FREC_Scab_3162_resized.JPG?1445259213,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/958/large/FREC_Scab_3163_resized.JPG?1445259215,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/959/large/FREC_Scab_3164_resized.JPG?1445259216,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/960/large/FREC_Scab_3165_resized.JPG?1445259217,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/961/large/FREC_Scab_3166_resized.JPG?1445259218,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/962/large/FREC_Scab_3167_resized.JPG?1445259219,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/963/large/FREC_Scab_3168_resized.JPG?1445259220,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/964/large/FREC_Scab_3169_resized.JPG?1445259222,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/965/large/FREC_Scab_3170_resized.JPG?1445259223,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/966/large/FREC_Scab_3171_resized.JPG?1445259224,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/967/large/FREC_Scab_3172_resized.JPG?1445259226,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/968/large/FREC_Scab_3173_resized.JPG?1445259229,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/969/large/FREC_Scab_3174_resized.JPG?1445259231,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/970/large/FREC_Scab_3175_resized.JPG?1445259233,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/971/large/FREC_Scab_3176_resized.JPG?1445259236,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/972/large/FREC_Scab_3177_resized.JPG?1445259237,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/973/large/FREC_Scab_3178_resized.JPG?1445259239,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/974/large/FREC_Scab_3179_resized.JPG?1445259240,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/975/large/FREC_Scab_3180_resized.JPG?1445259241,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/976/large/FREC_Scab_3181_resized.JPG?1445259243,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/977/large/FREC_Scab_3182_resized.JPG?1445259244,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/978/large/FREC_Scab_3183_resized.JPG?1445259246,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/979/large/FREC_Scab_3184_resized.JPG?1445259247,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/980/large/FREC_Scab_3185_resized.JPG?1445259251,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/981/large/FREC_Scab_3186_resized.JPG?1445259253,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
Apple,Malus domestica,Apple scab,<i>Venturia inaequalis </i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/009/982/large/FREC_Scab_3187_resized.JPG?1445259255,"photographed in field/outside, FREC, Biglerville, PA",PlantVillage
