File generated on 2016-09-21 09:02:57 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/064/large/DSC07858_resized.JPG?1474372517,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/065/large/DSC07859_resized.JPG?1474372518,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/066/large/DSC07860_resized.JPG?1474372520,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/067/large/DSC07861_resized.JPG?1474372521,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/068/large/DSC07862_resized.JPG?1474372522,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/069/large/DSC07863_resized.JPG?1474372524,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/070/large/DSC07864_resized.JPG?1474372526,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/071/large/DSC07865_resized.JPG?1474372527,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/072/large/DSC07866_resized.JPG?1474372530,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/073/large/DSC07867_resized.JPG?1474372532,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/074/large/DSC07868_resized.JPG?1474372533,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/075/large/DSC07869_resized.JPG?1474372535,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/076/large/DSC07870_resized.JPG?1474372536,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/077/large/DSC07871_resized.JPG?1474372537,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/078/large/DSC07872_resized.JPG?1474372538,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/079/large/DSC07873_resized.JPG?1474372540,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/080/large/DSC07874_resized.JPG?1474372541,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/081/large/DSC07875_resized.JPG?1474372545,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/082/large/DSC07876_resized.JPG?1474372547,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/083/large/DSC07877_resized.JPG?1474372548,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/084/large/DSC07878_resized.JPG?1474372550,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/085/large/DSC07879_resized.JPG?1474372551,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/086/large/DSC07880_resized.JPG?1474372553,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/087/large/DSC07881_resized.JPG?1474372555,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/088/large/DSC07882_resized.JPG?1474372556,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Banana,Musa paradisiaca,Black sigatoka (Black leaf streak),<i>Mycosphaerella fijiensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/064/089/large/DSC07883_resized.JPG?1474372557,"Photographed in field/outside, AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
