File generated on 2016-09-21 09:49:53 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/611/large/DSC02739_resized.JPG?1474448938,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/612/large/DSC02740_resized.JPG?1474448940,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/613/large/DSC02741_resized.JPG?1474448942,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/614/large/DSC02742_resized.JPG?1474448943,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/615/large/DSC02743_resized.JPG?1474448945,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/616/large/DSC02744_resized.JPG?1474448947,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/617/large/DSC02745_resized.JPG?1474448949,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/618/large/DSC02746_resized.JPG?1474448950,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/619/large/DSC02747_resized.JPG?1474448952,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
"Cabbage (red, white, Savoy)",Brassica oleracea,Black rot,<i>Xanthomonas campestris</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/069/620/large/DSC02748_resized.JPG?1474448953,"Photographed in field, Mount Meru farms, Arusha, Tanzania",PlantVillage
