File generated on 2016-09-22 09:00:57 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/865/large/DSC00032_resized.jpg?1474461862,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/866/large/DSC00388_resized.JPG?1474461864,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/867/large/DSC00392_resized.JPG?1474461865,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/868/large/DSC00410_resized.JPG?1474461867,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/869/large/DSC00600_resized.jpg?1474461869,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/870/large/DSC01213_resized.jpg?1474461871,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/871/large/DSC01753_resized.jpg?1474461872,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/872/large/DSC02299_resized.jpg?1474461874,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/873/large/DSC02365_resized.jpg?1474461875,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
Cassava (manioc),Manihot esculenta,Brown leaf spot,<i>Cercosporidium henningsii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/071/874/large/DSC02497_resized.jpg?1474461877,"Photographed in field/outside, Cocoa Research Institute of Ghana, Tafo, Ghana",PlantVillage
