File generated on 2016-09-23 09:00:20 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/857/large/Cerc.LS_1988_resized.JPG?1474547267,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/858/large/Cerc.LS_1989_resized.JPG?1474547268,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/859/large/Cerc.LS_1990_resized.JPG?1474547269,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/860/large/Cerc.LS_1991_resized.JPG?1474547270,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/861/large/Cerc.LS_1993_resized.JPG?1474547272,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/862/large/Cerc.LS_1994_resized.JPG?1474547274,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/863/large/Cerc.LS_1995_resized.JPG?1474547276,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/864/large/Cerc.LS_1996_resized.JPG?1474547277,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/865/large/Cerc.LS_1997_resized.JPG?1474547279,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/866/large/Cerc.LS_1998_resized.JPG?1474547280,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/867/large/Cerc.LS_1999_resized.JPG?1474547281,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/868/large/Cerc.LS_2000_resized.JPG?1474547283,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/869/large/Cerc.LS_2001_resized.JPG?1474547284,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/870/large/Cerc.LS_2002_resized.JPG?1474547285,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/871/large/Cerc.LS_2003_resized.JPG?1474547287,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/872/large/Cerc.LS_2004_resized.JPG?1474547288,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/873/large/Cerc.LS_2005_resized.JPG?1474547289,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/874/large/Cerc.LS_2006_resized.JPG?1474547291,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/875/large/Cerc.LS_2007_resized.JPG?1474547292,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/876/large/Cerc.LS_2008_resized.JPG?1474547293,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/877/large/Cerc.LS_2009_resized.JPG?1474547295,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/878/large/Cerc.LS_2010_resized.JPG?1474547296,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/879/large/Cerc.LS_2011_resized.JPG?1474547297,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/880/large/Cerc.LS_2012_resized.JPG?1474547298,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/881/large/Cerc.LS_2013_resized.JPG?1474547299,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/882/large/Cerc.LS_2014_resized.JPG?1474547301,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/883/large/Cerc.LS_2015_resized.JPG?1474547302,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/884/large/Cerc.LS_2016_resized.JPG?1474547303,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/885/large/Cerc.LS_2017_resized.JPG?1474547306,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Celery,Apium graveolens,"Early blight
Cercospora leaf spot
Cercospora blight",<i>Cercospora apii</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/072/886/large/Cerc.LS_2018_resized.JPG?1474547307,"Photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
