File generated on 2016-08-03 11:03:53 +0000

Image usage subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos)

Other image sizes are available when changing the /large part of the url to either /thumb or /medium.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/318/large/JR_HL_3920_resized.JPG?1448267145,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/319/large/JR_HL_3921_resized.JPG?1448267146,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/320/large/JR_HL_3922_resized.JPG?1448267148,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/321/large/JR_HL_3923_resized.JPG?1448267149,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/322/large/JR_HL_3924_resized.JPG?1448267150,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/323/large/JR_HL_3925_resized.JPG?1448267151,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/324/large/JR_HL_3926_resized.JPG?1448267152,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/325/large/JR_HL_3927_resized.JPG?1448267153,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/326/large/JR_HL_3928_resized.JPG?1448267154,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
Cherry (including sour),Prunus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/327/large/JR_HL_3929_resized.JPG?1448267155,"healthy leaf, photographed outside house of Janet Robinson, Bellefonte, PA",PlantVillage
