File generated on 2016-09-27 09:00:29 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/186/large/RS_GLSp_3809_resized.JPG?1448294199,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/187/large/RS_GLSp_3810_copy_2_resized.jpg?1448294201,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/188/large/RS_GLSp_3810_copy_resized.jpg?1448294202,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/189/large/RS_GLSp_3810_resized.JPG?1448294203,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/190/large/RS_GLSp_3811_resized.JPG?1448294204,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/191/large/RS_GLSp_4286_resized.JPG?1448294205,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/192/large/RS_GLSp_4287_copy_resized.jpg?1448294207,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/193/large/RS_GLSp_4287_resized.JPG?1448294208,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/194/large/RS_GLSp_4288_copy_resized.jpg?1448294209,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/195/large/RS_GLSp_4288_resized.JPG?1448294211,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/196/large/RS_GLSp_4289_copy_2_resized.jpg?1448294212,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/197/large/RS_GLSp_4289_copy_3_resized.jpg?1448294213,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/198/large/RS_GLSp_4289_copy_resized.jpg?1448294214,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/199/large/RS_GLSp_4289_resized.JPG?1448294216,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/200/large/RS_GLSp_4290_copy_resized.jpg?1448294217,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/201/large/RS_GLSp_4290_resized.JPG?1448294218,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/202/large/RS_GLSp_4291_resized.JPG?1448294219,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/203/large/RS_GLSp_4292_resized.JPG?1448294220,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/204/large/RS_GLSp_4306_resized.JPG?1448294222,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/205/large/RS_GLSp_4307_resized.JPG?1448294223,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/206/large/RS_GLSp_4308_resized.JPG?1448294224,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/207/large/RS_GLSp_4309_resized.JPG?1448294226,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/208/large/RS_GLSp_4310_resized.JPG?1448294227,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/209/large/RS_GLSp_4311_resized.JPG?1448294228,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/210/large/RS_GLSp_4312_resized.JPG?1448294229,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/211/large/RS_GLSp_4316_resized.JPG?1448294231,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/212/large/RS_GLSp_4317_resized.JPG?1448294232,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Corn (maize),Zea mays,"Cercospora leaf spot
Gray leaf spot",<i>Cercospora zeae-maydis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/055/213/large/RS_GLSp_4318_resized.JPG?1448294233,"photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
