File generated on 2016-09-27 09:01:43 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/757/large/DSC02832_resized.JPG?1474892379,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/758/large/DSC02833_resized.JPG?1474892382,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/759/large/DSC02834_resized.JPG?1474892384,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/760/large/DSC02835_resized.JPG?1474892387,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/761/large/DSC02836_resized.JPG?1474892389,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/762/large/DSC02837_resized.JPG?1474892392,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/763/large/DSC02838_resized.JPG?1474892395,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/764/large/DSC02839_resized.JPG?1474892397,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/765/large/DSC02840_resized.JPG?1474892400,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/766/large/DSC02841_resized.JPG?1474892402,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/767/large/DSC02842_resized.JPG?1474892405,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/768/large/DSC02843_resized.JPG?1474892407,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/769/large/DSC02844_resized.JPG?1474892417,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/770/large/DSC02845_resized.JPG?1474892420,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/771/large/DSC02846_resized.JPG?1474892423,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/772/large/DSC02847_resized.JPG?1474892426,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/773/large/DSC02848_resized.JPG?1474892430,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/774/large/DSC02849_resized.JPG?1474892432,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/775/large/DSC02850_resized.JPG?1474892439,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/776/large/DSC02851_resized.JPG?1474892446,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/777/large/DSC02852_resized.JPG?1474892451,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/778/large/DSC02853_resized.JPG?1474892456,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/779/large/DSC02854_resized.JPG?1474892460,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/780/large/DSC02855_resized.JPG?1474892463,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/781/large/DSC02856_resized.JPG?1474892466,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/782/large/DSC02857_resized.JPG?1474892470,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/783/large/DSC02858_resized.JPG?1474892474,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/784/large/DSC02859_resized.JPG?1474892478,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/785/large/DSC02860_resized.JPG?1474892483,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/786/large/DSC02861_resized.JPG?1474892487,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/787/large/DSC02862_resized.JPG?1474892490,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/788/large/DSC02863_resized.JPG?1474892493,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/789/large/DSC02864_resized.JPG?1474892495,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/790/large/DSC02865_resized.JPG?1474892497,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/791/large/DSC02866_resized.JPG?1474892499,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/792/large/DSC02867_resized.JPG?1474892501,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/793/large/DSC02868_resized.JPG?1474892503,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/794/large/DSC02869_resized.JPG?1474892505,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/795/large/DSC02870_resized.JPG?1474892507,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/796/large/DSC02871_resized.JPG?1474892509,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/797/large/DSC02872_resized.JPG?1474892511,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/798/large/DSC02873_resized.JPG?1474892512,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/799/large/DSC02874_resized.JPG?1474892514,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/800/large/DSC02875_resized.JPG?1474892515,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/801/large/DSC02876_resized.JPG?1474892517,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/802/large/DSC02877_resized.JPG?1474892519,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/803/large/DSC02878_resized.JPG?1474892521,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/804/large/DSC02879_resized.JPG?1474892523,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/805/large/DSC02880_resized.JPG?1474892527,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/806/large/DSC02881_resized.JPG?1474892529,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/807/large/DSC02882_resized.JPG?1474892530,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/808/large/DSC02883_resized.JPG?1474892532,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/809/large/DSC02884_resized.JPG?1474892534,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/810/large/DSC02885_resized.JPG?1474892539,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/811/large/DSC02886_resized.JPG?1474892540,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/812/large/DSC02887_resized.JPG?1474892542,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/813/large/DSC02888_resized.JPG?1474892545,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/814/large/DSC02889_resized.JPG?1474892548,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/815/large/DSC02890_resized.JPG?1474892551,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/816/large/DSC02891_resized.JPG?1474892553,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/817/large/DSC02892_resized.JPG?1474892554,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/818/large/DSC02893_resized.JPG?1474892556,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/819/large/DSC02894_resized.JPG?1474892557,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/820/large/DSC02895_resized.JPG?1474892561,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/821/large/DSC02896_resized.JPG?1474892562,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/822/large/DSC02897_resized.JPG?1474892564,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/823/large/DSC02898_resized.JPG?1474892565,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/824/large/DSC02899_resized.JPG?1474892567,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
Cucumber,Cucumis sativus,Downy mildew,<i>Pseudoperonospora cubensis</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/078/825/large/DSC02900_resized.JPG?1474892569,"Photographed in field, Mount Meru farms of AVRDC World Vegetable Center, Arusha, Tanzania",PlantVillage
