File generated on 2016-09-27 09:01:57 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/775/large/Mt.N.V_HL_6020_resized.JPG?1445419217,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/776/large/Mt.N.V_HL_6021_resized.JPG?1445419218,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/777/large/Mt.N.V_HL_6022_resized.JPG?1445419220,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/778/large/Mt.N.V_HL_6023_resized.JPG?1445419221,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/779/large/Mt.N.V_HL_6024_resized.JPG?1445419223,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/780/large/Mt.N.V_HL_6025_resized.JPG?1445419226,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/781/large/Mt.N.V_HL_6026_resized.JPG?1445419228,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/782/large/Mt.N.V_HL_6027_resized.JPG?1445419231,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/783/large/Mt.N.V_HL_6028_resized.JPG?1445419232,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/784/large/Mt.N.V_HL_6029_resized.JPG?1445419235,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/785/large/Mt.N.V_HL_6030_resized.JPG?1445419236,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/786/large/Mt.N.V_HL_6031_resized.JPG?1445419238,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/787/large/Mt.N.V_HL_6032_resized.JPG?1445419240,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/788/large/Mt.N.V_HL_6033_resized.JPG?1445419242,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/789/large/Mt.N.V_HL_6034_resized.JPG?1445419244,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/790/large/Mt.N.V_HL_6035_resized.JPG?1445419246,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/791/large/Mt.N.V_HL_6036_resized.JPG?1445419248,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/792/large/Mt.N.V_HL_6037_resized.JPG?1445419249,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/793/large/Mt.N.V_HL_6038_resized.JPG?1445419251,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/794/large/Mt.N.V_HL_6039_resized.JPG?1445419252,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/795/large/Mt.N.V_HL_6040_resized.JPG?1445419254,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/796/large/Mt.N.V_HL_6041_resized.JPG?1445419255,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
Grape,Vitis vinifera,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/797/large/Mt.N.V_HL_6042_resized.JPG?1445419257,"healthy leaf, photographed in field/outside, Bellefonte, PA",PlantVillage
