File generated on 2016-09-27 09:02:17 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/238/large/Onion_RS_9758_resized.JPG?1474900690,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/239/large/Onion_RS_9759_resized.JPG?1474900692,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/240/large/Onion_RS_9760_resized.JPG?1474900693,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/241/large/Onion_RS_9761_resized.JPG?1474900695,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/242/large/Onion_RS_9762_resized.JPG?1474900696,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/243/large/Onion_RS_9763_resized.JPG?1474900698,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/244/large/Onion_RS_9764_resized.JPG?1474900699,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/245/large/Onion_RS_9765_resized.JPG?1474900701,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/246/large/Onion_RS_9766_resized.JPG?1474900702,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
Onion,Allium cepa,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/081/247/large/Onion_RS_9767_resized.JPG?1474900704,"Healthy leaf, photographed in field, Rock Springs Research Center, Penn State, PA",PlantVillage
