File generated on 2016-08-03 11:06:21 +0000

Image usage subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos)

Other image sizes are available when changing the /large part of the url to either /thumb or /medium.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/198/large/Rutg._HL_2394_resized.JPG?1445420112,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/199/large/Rutg._HL_2395_resized.JPG?1445420113,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/200/large/Rutg._HL_2396_resized.JPG?1445420114,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/201/large/Rutg._HL_2397_resized.JPG?1445420116,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/202/large/Rutg._HL_2398_resized.JPG?1445420117,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/203/large/Rutg._HL_2399_resized.JPG?1445420118,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/204/large/Rutg._HL_2400_resized.JPG?1445420120,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/205/large/Rutg._HL_2401_resized.JPG?1445420121,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/206/large/Rutg._HL_2402_resized.JPG?1445420122,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/207/large/Rutg._HL_2403_resized.JPG?1445420124,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/208/large/Rutg._HL_2404_resized.JPG?1445420126,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/209/large/Rutg._HL_2406_resized.JPG?1445420127,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/210/large/Rutg._HL_2407_resized.JPG?1445420129,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/211/large/Rutg._HL_2408_resized.JPG?1445420130,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/212/large/Rutg._HL_2409_resized.JPG?1445420131,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/213/large/Rutg._HL_2410_resized.JPG?1445420133,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/214/large/Rutg._HL_2411_resized.JPG?1445420134,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/215/large/Rutg._HL_2412_resized.JPG?1445420135,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/216/large/Rutg._HL_2413_resized.JPG?1445420137,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/217/large/Rutg._HL_2414_resized.JPG?1445420138,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/218/large/Rutg._HL_2415_resized.JPG?1445420140,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/219/large/Rutg._HL_2416_resized.JPG?1445420141,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/220/large/Rutg._HL_2417_resized.JPG?1445420143,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/221/large/Rutg._HL_2418_resized.JPG?1445420145,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/222/large/Rutg._HL_2419_resized.JPG?1445420146,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
Peach,Prunus persica,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/024/223/large/Rutg._HL_2420_resized.JPG?1445420148,"healthy leaf, photographed in field/outside Rutgers Ag Research Center, Bridgeton, NJ",PlantVillage
