File generated on 2016-09-27 09:02:19 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
"Pepper, bell",Capsicum annuum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/081/large/bell-pepper-plant-61726.jpg?1430406723,Leaves and fruit,"Public domain image
http://pixabay.com/en/bell-pepper-plant-pepper-shrub-61726/"
"Pepper, bell",Capsicum annuum,Bacterial wilt,<i>Ralstonia solanacearum</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/086/large/droppedImage.jpg?1430942027,Bacterial wilt symptoms on pepper plant,"Mathews L. Paret
Licensed by Creative Commons
Attribution 2.0 Generic
http://nfrec.ifas.ufl.edu/paret/u-scout/Pepper/Pages/Bacterial_wilt.html#0"
"Pepper, bell",Capsicum annuum,Bacterial wilt,<i>Ralstonia solanacearum</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/087/large/droppedImage_1.jpg?1430942131,Pepper infected with bacterial wilt (death of plant),"Mathews L. Paret
Licensed by Creative Commons
Attribution 2.0 Generic
http://nfrec.ifas.ufl.edu/paret/u-scout/Pepper/Pages/Bacterial_wilt.html#1"
"Pepper, bell",Capsicum annuum,Bacterial wilt,<i>Ralstonia solanacearum</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/089/large/droppedImage_4.jpg?1430942280,Bacterial ooze from pepper stem infected with bacterial wilt,"Hank Dankers
Licensed by Creative Commons
Attribution 2.0 Generic
http://nfrec.ifas.ufl.edu/paret/u-scout/Pepper/Pages/Bacterial_wilt.html#4"
"Pepper, bell",Capsicum annuum,Anthracnose,<i>Colletotrichum</i> spp.,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/092/large/Screen_Shot_2015-05-06_at_4.00.25_PM.png?1430942614,Anthracnose lesions on pepper fruit,"Mathews L. Paret
Licensed by Creative Commons
Attribution 2.0 Generic
http://nfrec.ifas.ufl.edu/paret/u-scout/Pepper/Pages/Anthracnose.html#0"
"Pepper, bell",Capsicum annuum,Anthracnose,<i>Colletotrichum</i> spp.,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/093/large/Screen_Shot_2015-05-06_at_4.01.00_PM.png?1430942704,Anthracnose lesion on pepper fruit,"Mathews L. Paret
Licensed by Creative Commons
Attribution 2.0 Generic
http://nfrec.ifas.ufl.edu/paret/u-scout/Pepper/Pages/Anthracnose.html#1"
"Pepper, bell",Capsicum annuum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/095/large/Screen_Shot_2015-05-06_at_4.01.13_PM.png?1430942805,Anthracnose lesions on pepper fruit - note concentric patternation,"Mathews L. Paret
Licensed by Creative Commons
Attribution 2.0 Generic
http://nfrec.ifas.ufl.edu/paret/u-scout/Pepper/Pages/Anthracnose.html#2"
"Pepper, bell",Capsicum annuum,Anthracnose,<i>Colletotrichum</i> spp.,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/097/large/Screen_Shot_2015-05-06_at_4.01.22_PM.png?1430942970,Large anthracnose lesion on pepper fruit,"Mathews L. Paret
Licensed by Creative Commons
Attribution 2.0 Generic
http://nfrec.ifas.ufl.edu/paret/u-scout/Pepper/Pages/Anthracnose.html#3"
"Pepper, bell",Capsicum annuum,Cercospora leaf spot (Frogeye leaf spot),<i>Cercospora capsici</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/099/large/5077055-PPT.jpg?1430944226,Cercospora lesions on pepper leaf,"David B. Langston, University of Georgia, Bugwood.org
Licensed by Creative Commons
Attribution 3.0 United States
http://www.ipmimages.org/browse/detail.cfm?imgnum=5077055"
"Pepper, bell",Capsicum annuum,Bacterial spot,"<i>Xanthomonas campestris
Xanthomonas euvesicatoria 
Xanthomonas perforans = [Xanthomonas axonopodis (syn. campestris) pv. vesicatoria]
 Xanthomonas vesicatoria
 Xanthomonas gardneri</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/023/186/large/JR_B.Spot_3097_resized.JPG?1445417870,"photographed outside Janet Robinson house, Bellefonte, PA",PlantVillage
