File generated on 2016-09-28 09:01:03 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/387/large/RS_HL_1735_resized.JPG?1444728468,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/388/large/RS_HL_1736_resized.JPG?1444728470,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/389/large/RS_HL_1738_resized.JPG?1444728474,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/390/large/RS_HL_1740_resized.JPG?1444728483,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/391/large/RS_HL_1745_resized.JPG?1444728485,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/392/large/RS_HL_1746_resized.JPG?1444728487,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/393/large/RS_HL_1747_resized.JPG?1444728490,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/394/large/RS_HL_1748_resized.JPG?1444728493,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/395/large/RS_HL_1750_resized.JPG?1444728495,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/396/large/RS_HL_1751_resized.JPG?1444728499,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/397/large/RS_HL_1752_resized.JPG?1444728502,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/398/large/RS_HL_1754_resized.JPG?1444728505,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/399/large/RS_HL_1755_resized.JPG?1444728507,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/400/large/RS_HL_1757_resized.JPG?1444728510,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/401/large/RS_HL_1758_resized.JPG?1444728512,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/402/large/RS_HL_1759_resized.JPG?1444728515,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/403/large/RS_HL_1762_resized.JPG?1444728518,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/404/large/RS_HL_1765_resized.JPG?1444728521,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/405/large/RS_HL_1766_resized.JPG?1444728523,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/406/large/RS_HL_1769_resized.JPG?1444728526,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/407/large/RS_HL_1770_resized.JPG?1444728529,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/408/large/RS_HL_1771_resized.JPG?1444728532,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/409/large/RS_HL_1772_resized.JPG?1444728535,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Potato,Solanum tuberosum,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/007/410/large/RS_HL_1773_resized.JPG?1444728538,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
