File generated on 2016-08-03 11:07:36 +0000

Image usage subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos)

Other image sizes are available when changing the /large part of the url to either /thumb or /medium.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/947/large/Mary_HL_6214_resized.JPG?1448266653,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/948/large/Mary_HL_6215_resized.JPG?1448266654,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/949/large/Mary_HL_6216_resized.JPG?1448266655,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/950/large/Mary_HL_6217_resized.JPG?1448266656,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/951/large/Mary_HL_6218_resized.JPG?1448266657,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/952/large/Mary_HL_6219_resized.JPG?1448266658,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/953/large/Mary_HL_6220_resized.JPG?1448266660,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/954/large/Mary_HL_6221_resized.JPG?1448266661,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/955/large/Mary_HL_6222_resized.JPG?1448266662,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/956/large/Mary_HL_6223_resized.JPG?1448266662,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/957/large/Mary_HL_6224_resized.JPG?1448266663,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/958/large/Mary_HL_6225_resized.JPG?1448266664,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/959/large/Mary_HL_6226_resized.JPG?1448266666,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/960/large/Mary_HL_6227_resized.JPG?1448266667,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/961/large/Mary_HL_6228_resized.JPG?1448266668,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/962/large/Mary_HL_6229_resized.JPG?1448266669,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/963/large/Mary_HL_6230_resized.JPG?1448266670,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/964/large/Mary_HL_6231_resized.JPG?1448266671,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/965/large/Mary_HL_6232_resized.JPG?1448266672,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/966/large/Mary_HL_6233_resized.JPG?1448266672,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/967/large/Mary_HL_6234_resized.JPG?1448266673,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/968/large/Mary_HL_6235_resized.JPG?1448266674,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/969/large/Mary_HL_6236_resized.JPG?1448266675,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/970/large/Mary_HL_6237_resized.JPG?1448266676,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/971/large/Mary_HL_6238_resized.JPG?1448266677,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/972/large/Mary_HL_6239_resized.JPG?1448266678,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/973/large/Mary_HL_6240_resized.JPG?1448266679,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/974/large/Mary_HL_6241_resized.JPG?1448266680,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/975/large/Mary_HL_6242_resized.JPG?1448266682,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/976/large/Mary_HL_6243_resized.JPG?1448266683,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/977/large/Mary_HL_6244_resized.JPG?1448266684,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/978/large/Mary_HL_6245_resized.JPG?1448266686,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/979/large/Mary_HL_6246_resized.JPG?1448266688,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/980/large/Mary_HL_6247_resized.JPG?1448266689,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/981/large/Mary_HL_6248_resized.JPG?1448266691,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/982/large/Mary_HL_6249_resized.JPG?1448266692,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/983/large/Mary_HL_6250_resized.JPG?1448266693,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/984/large/Mary_HL_6251_resized.JPG?1448266695,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/985/large/Mary_HL_6252_resized.JPG?1448266696,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/986/large/Mary_HL_6276_resized.JPG?1448266698,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/987/large/Mary_HL_6277_resized.JPG?1448266699,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/988/large/Mary_HL_6278_resized.JPG?1448266700,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/989/large/Mary_HL_6279_resized.JPG?1448266702,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/990/large/Mary_HL_6280_resized.JPG?1448266703,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/991/large/Mary_HL_6281_resized.JPG?1448266706,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/992/large/Mary_HL_6282_resized.JPG?1448266707,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/993/large/Mary_HL_6283_resized.JPG?1448266710,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/994/large/Mary_HL_6284_resized.JPG?1448266712,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/995/large/Mary_HL_6285_resized.JPG?1448266713,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/996/large/Mary_HL_6286_resized.JPG?1448266714,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/997/large/Mary_HL_6287_resized.JPG?1448266716,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/998/large/Mary_HL_6288_resized.JPG?1448266717,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/042/999/large/Mary_HL_6289_resized.JPG?1448266718,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/000/large/Mary_HL_6290_resized.JPG?1448266719,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/001/large/Mary_HL_6291_resized.JPG?1448266720,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/002/large/Mary_HL_6292_resized.JPG?1448266721,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/003/large/Mary_HL_6293_resized.JPG?1448266722,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/004/large/Mary_HL_6294_resized.JPG?1448266723,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
Raspberry,Rubus spp.,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/043/005/large/Mary_HL_6295_resized.JPG?1448266724,"healthy leaf, photographed outside house of Mary (homegrower), Bellefonte, PA",PlantVillage
