File generated on 2016-09-30 09:00:50 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/224/large/RS_HL_2691_resized.JPG?1448272568,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/225/large/RS_HL_2692_resized.JPG?1448272569,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/226/large/RS_HL_2693_resized.JPG?1448272571,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/227/large/RS_HL_2694_resized.JPG?1448272572,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/228/large/RS_HL_2695_resized.JPG?1448272574,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/229/large/RS_HL_2697_resized.JPG?1448272575,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/230/large/RS_HL_2698_resized.JPG?1448272576,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/231/large/RS_HL_2699_resized.JPG?1448272578,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/232/large/RS_HL_2700_resized.JPG?1448272579,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/233/large/RS_HL_2701_resized.JPG?1448272580,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/234/large/RS_HL_2702_resized.JPG?1448272581,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/235/large/RS_HL_2703_resized.JPG?1448272583,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/236/large/RS_HL_2705_resized.JPG?1448272584,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/237/large/RS_HL_2706_resized.JPG?1448272585,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/238/large/RS_HL_2707_resized.JPG?1448272587,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/239/large/RS_HL_2708_resized.JPG?1448272589,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/240/large/RS_HL_2709_resized.JPG?1448272590,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/241/large/RS_HL_2710_resized.JPG?1448272591,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/242/large/RS_HL_2711_resized.JPG?1448272593,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/243/large/RS_HL_2712_resized.JPG?1448272594,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/244/large/RS_HL_2713_resized.JPG?1448272595,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/245/large/RS_HL_2714_resized.JPG?1448272597,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/246/large/RS_HL_2715_resized.JPG?1448272598,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/247/large/RS_HL_2716_resized.JPG?1448272599,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/248/large/RS_HL_2717_resized.JPG?1448272601,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/249/large/RS_HL_2718_resized.JPG?1448272602,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/250/large/RS_HL_2719_resized.JPG?1448272604,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/251/large/RS_HL_2720_resized.JPG?1448272606,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/252/large/RS_HL_2721_resized.JPG?1448272608,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/253/large/RS_HL_2722_resized.JPG?1448272610,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/254/large/RS_HL_2723_resized.JPG?1448272611,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/255/large/RS_HL_2724_resized.JPG?1448272613,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/256/large/RS_HL_2725_resized.JPG?1448272614,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/257/large/RS_HL_2727_resized.JPG?1448272616,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/258/large/RS_HL_2728_resized.JPG?1448272618,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/259/large/RS_HL_2729_resized.JPG?1448272620,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/260/large/RS_HL_2730_resized.JPG?1448272621,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/261/large/RS_HL_2731_resized.JPG?1448272623,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/262/large/RS_HL_2732_resized.JPG?1448272625,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/263/large/RS_HL_2733_resized.JPG?1448272627,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/264/large/RS_HL_2734_resized.JPG?1448272629,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/265/large/RS_HL_2735_resized.JPG?1448272630,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/266/large/RS_HL_2736_resized.JPG?1448272632,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/267/large/RS_HL_2737_resized.JPG?1448272634,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/268/large/RS_HL_2738_resized.JPG?1448272636,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/269/large/RS_HL_2739_resized.JPG?1448272638,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/270/large/RS_HL_2740_resized.JPG?1448272639,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/271/large/RS_HL_2741_resized.JPG?1448272641,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/272/large/RS_HL_2742_resized.JPG?1448272642,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/273/large/RS_HL_2743_resized.JPG?1448272643,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/274/large/RS_HL_2744_resized.JPG?1448272645,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/275/large/RS_HL_2745_resized.JPG?1448272647,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/276/large/RS_HL_2746_resized.JPG?1448272648,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/277/large/RS_HL_2747_resized.JPG?1448272650,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/278/large/RS_HL_2748_resized.JPG?1448272651,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/279/large/RS_HL_2749_resized.JPG?1448272652,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/280/large/RS_HL_2750_resized.JPG?1448272653,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/281/large/RS_HL_2751_resized.JPG?1448272654,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/282/large/RS_HL_2752_resized.JPG?1448272655,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/283/large/RS_HL_2753_resized.JPG?1448272657,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/284/large/RS_HL_2754_resized.JPG?1448272658,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Soybean,Glycine max,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/045/285/large/RS_HL_2755_resized.JPG?1448272660,"healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
