File generated on 2016-09-30 09:02:12 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Squash,Cucurbita spp.,Alternaria leaf spot,<i>Alternaria alternata</i>,https://d3an9inho3qicd.cloudfront.net/images/pics/000/005/111/large/droppedImage_1.jpg?1431539462,Leaf symptoms,"Hank Dankers
Licensed by Creative Commons
Attribution 2.0 Generic
http://nfrec.ifas.ufl.edu/paret/u-scout/Cucurbits/Pages/Alternaria_leaf_spot.html#0"
Squash,Cucurbita spp.,Powdery mildew,"<i>Erysiphe cichoracearum
Sphaerotheca fuliginea
Podosphaera xanthii</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/058/927/large/MD_Powd.M_0001_resized.JPG?1448358194,"photographed in field/outside, University of Maryland LESREC, Salisbury, MD",PlantVillage
Squash,Cucurbita spp.,Powdery mildew,"<i>Erysiphe cichoracearum
Sphaerotheca fuliginea
Podosphaera xanthii</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/058/928/large/MD_Powd.M_0002_resized.JPG?1448358195,"photographed in field/outside, University of Maryland LESREC, Salisbury, MD",PlantVillage
Squash,Cucurbita spp.,Powdery mildew,"<i>Erysiphe cichoracearum
Sphaerotheca fuliginea
Podosphaera xanthii</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/058/929/large/MD_Powd.M_0004_resized.JPG?1448358197,"photographed in field/outside, University of Maryland LESREC, Salisbury, MD",PlantVillage
Squash,Cucurbita spp.,Powdery mildew,"<i>Erysiphe cichoracearum
Sphaerotheca fuliginea
Podosphaera xanthii</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/058/930/large/MD_Powd.M_0005_resized.JPG?1448358198,"photographed in field/outside, University of Maryland LESREC, Salisbury, MD",PlantVillage
Squash,Cucurbita spp.,Powdery mildew,"<i>Erysiphe cichoracearum
Sphaerotheca fuliginea
Podosphaera xanthii</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/058/931/large/MD_Powd.M_0006_resized.JPG?1448358199,"photographed in field/outside, University of Maryland LESREC, Salisbury, MD",PlantVillage
Squash,Cucurbita spp.,Powdery mildew,"<i>Erysiphe cichoracearum
Sphaerotheca fuliginea
Podosphaera xanthii</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/058/932/large/MD_Powd.M_0007_resized.JPG?1448358200,"photographed in field/outside, University of Maryland LESREC, Salisbury, MD",PlantVillage
Squash,Cucurbita spp.,Powdery mildew,"<i>Erysiphe cichoracearum
Sphaerotheca fuliginea
Podosphaera xanthii</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/058/933/large/MD_Powd.M_0008_resized.JPG?1448358201,"photographed in field/outside, University of Maryland LESREC, Salisbury, MD",PlantVillage
Squash,Cucurbita spp.,Powdery mildew,"<i>Erysiphe cichoracearum
Sphaerotheca fuliginea
Podosphaera xanthii</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/058/934/large/MD_Powd.M_0009_resized.JPG?1448358202,"photographed in field/outside, University of Maryland LESREC, Salisbury, MD",PlantVillage
Squash,Cucurbita spp.,Powdery mildew,"<i>Erysiphe cichoracearum
Sphaerotheca fuliginea
Podosphaera xanthii</i>",https://d3an9inho3qicd.cloudfront.net/images/pics/000/058/935/large/MD_Powd.M_0011_resized.JPG?1448358203,"photographed in field/outside, University of Maryland LESREC, Salisbury, MD",PlantVillage
