File generated on 2016-09-30 09:04:16 +0000

"Image usage is subject to PlantVillage terms of service (https://www.plantvillage.org/en/tos). In particular, all images that contain the term PlantVillage in the metadata are licensed under a Creative Commons Attribution-ShareAlike 3.0 license."

Other image sizes are available when changing the /large/ part of the url to either /thumb/ or /medium/.


Crop common name,Crop scientific name,Disease common name,Disease scientific name,url,description,metadata
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/249/large/DSC03854_resized.JPG?1475158936,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/250/large/DSC03855_resized.JPG?1475158939,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/251/large/DSC03857_resized.JPG?1475158940,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/252/large/DSC03858_resized.JPG?1475158941,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/253/large/DSC03859_resized.JPG?1475158942,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/254/large/DSC03860_resized.JPG?1475158943,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/255/large/DSC03861_resized.JPG?1475158945,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/256/large/DSC03862_resized.JPG?1475158946,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/257/large/DSC03863_resized.JPG?1475158950,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/258/large/DSC03864_resized.JPG?1475158952,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/259/large/DSC03866_resized.JPG?1475158953,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/260/large/DSC03867_resized.JPG?1475158954,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/261/large/DSC03868_resized.JPG?1475158957,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/262/large/DSC03870_resized.JPG?1475158958,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/263/large/DSC03871_resized.JPG?1475158959,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/264/large/DSC03872_resized.JPG?1475158961,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/265/large/DSC03873_resized.JPG?1475158962,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/266/large/DSC03874_resized.JPG?1475158968,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
Watermelon,Citrullus lanatus,,,https://d3an9inho3qicd.cloudfront.net/images/pics/000/098/267/large/DSC03875_resized.JPG?1475158969,"Healthy leaf, photographed in field/outside, Rock Springs Research Center, Penn State, PA",PlantVillage
